ID_REF,normal_mean,cancer_mean,difference,p_value,adjusted_p_value
219979_s_at,6.642682078470589,4.708215206836538,-1.9344668716340507,2.173722488586878e-09,3.691337887510368e-08
219981_x_at,7.330780385117647,9.105812464701923,1.7750320795842764,4.229435487485131e-14,1.617647929022081e-12
219990_at,3.160181014882353,4.318902220788461,1.158721205906108,2.4314372215390266e-05,0.00018109363006874797
219999_at,6.807792897058824,5.658389520903847,-1.149403376154977,8.432121007086789e-07,8.61990508420659e-06
220011_at,3.0396205367647053,4.0618218654038465,1.0222013286391411,3.019557767379701e-07,3.3819914505605724e-06
220016_at,6.364574276352942,4.222467818875,-2.142106457477942,2.1753541627699314e-16,1.1697404418701486e-14
220030_at,3.5236969904117643,4.775500742394231,1.2518037519824663,0.0014345065567231952,0.006675812871708328
220032_at,4.427881479647059,2.757236551057692,-1.670644928589367,2.430185751343151e-22,3.536989549934875e-20
220035_at,2.8610575251176478,4.016948627096154,1.155891101978506,1.534868125707587e-06,1.477974019636457e-05
220037_s_at,4.970362081235294,2.340157667326923,-2.6302044139083707,2.2119210194729008e-33,1.9471683439001846e-30
220061_at,6.729257861764706,3.1155003397019234,-3.613757522062783,4.461069987965149e-37,1.2814775730165784e-33
220065_at,6.6350357205294115,2.5101351147115385,-4.1249006058178725,1.9558140035775454e-29,8.749702664037611e-27
220066_at,2.7061839538823533,3.8431119414903847,1.1369279876080314,2.60307339824467e-05,0.000192484951907324
220073_s_at,4.36983579482353,2.9917172057307697,-1.37811858909276,1.409036816944093e-10,2.9681134863755944e-09
220081_x_at,8.051125042058825,9.159113693355769,1.1079886512969441,5.711729836079948e-08,7.392471015494605e-07
220085_at,2.6993099186470584,4.809620507326923,2.110310588679865,4.841983641782194e-09,7.666684803737464e-08
220088_at,4.336224149411765,3.121268819576923,-1.2149553298348423,6.418564633085379e-06,5.441423409586314e-05
220122_at,4.785578493235294,3.5476057466153845,-1.237972746619909,1.6685599538032017e-05,0.00012966649206949663
220141_at,5.4274832048823525,3.490332063086539,-1.9371511417958134,1.2399949229472396e-23,2.230096388464984e-21
220143_x_at,5.656230491294117,6.836527044144232,1.1802965528501144,8.197699546331576e-08,1.0297404914596804e-06
220147_s_at,4.744906319411764,6.865402694759616,2.1204963753478516,1.1608350330260869e-10,2.486546910028681e-09
